"","id","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"55",246,NA,1998,12,NA,373.18,228.65,269.64,351.84,730.45,169.42,NA,0,2,4,6,8,12
"135",247,16.875,1979,31,40.95,110.71,1127.01,NA,NA,NA,197.94,16,19,21,23,25,27,31
"337",248,19.0416666666667,1980,30,52.65,49.09,134.84,383.06,492.57,549.74,NA,15,18,20,22,24,26,30
"69",249,16.9333333333333,1993,17,44.85,57.28,60.44,247.17,568.21,642.86,505.66,2,5,7,9,11,13,17
"237",250,NA,1993,17,35.1,NA,67.88,NA,NA,99.87,4359.83,2,5,7,9,11,13,17
"182",251,22.5833333333333,1986,24,NA,NA,NA,NA,NA,NA,1820.15,9,12,14,16,18,20,24
"290",252,15.9972222222222,1981,29,148.2,52.21,358.36,144.45,783.59,2670.45,206.86,14,17,19,21,23,25,29
"50",253,NA,1998,12,NA,NA,75.32,376.64,470.25,559.45,2483.2,NA,0,2,4,6,8,12
"179",254,NA,1999,11,NA,NA,339.44,NA,1322.98,2413.73,4639.01,NA,NA,1,3,5,7,11
"171",255,19.0611111111111,1978,32,189.15,905.37,NA,NA,NA,NA,5422.55,17,20,22,24,26,28,32
"104",256,NA,2000,10,NA,NA,NA,70.62,84.23,99.87,144.46,NA,NA,0,2,4,6,10
"255",257,NA,1999,11,NA,NA,60.44,362.73,494.44,549.74,1279.67,NA,NA,1,3,5,7,11
"119",258,19.4833333333333,1977,33,NA,172.58,209.23,70.62,294.8,349.57,3606.05,18,21,23,25,27,29,33
"65",259,NA,1997,13,NA,60.01,NA,93.09,118.95,137.41,614.33,NA,1,3,5,7,9,13
"489",260,19,1978,32,144.3,NA,NA,NA,NA,NA,NA,17,20,22,24,26,28,32
"446",261,20,1983,23,35.1,NA,NA,NA,NA,NA,NA,12,15,17,19,21,23,27
"199",262,NA,2001,9,NA,NA,NA,1796.53,84.23,142.96,275.63,NA,NA,NA,1,3,5,9
"447",263,NA,1993,17,35.1,54.55,60.44,79.18,84.23,584.47,NA,2,5,7,9,11,13,17
"208",264,17.1638888888889,1986,24,171.6,54.55,228.65,195.81,118.95,142.96,651.06,9,12,14,16,18,20,24
"15",265,NA,1998,12,NA,538.93,60.44,70.62,2136.74,2869.25,3424.19,NA,0,2,4,6,8,12
"54",266,NA,1999,11,NA,NA,71.6,121.98,112.13,99.87,181.9,NA,NA,1,3,5,7,11
"421",267,NA,1991,15,NA,NA,130.03,NA,NA,NA,NA,4,7,9,11,13,15,19
"23",268,15.2333333333333,1987,23,142.35,284.26,NA,NA,226.83,NA,1656.49,8,11,13,15,17,19,23
"137",269,NA,1996,14,NA,49.09,60.44,87.74,84.23,99.87,269.26,NA,2,4,6,8,10,14
"8",270,NA,2001,9,NA,NA,NA,1954.89,NA,2958.41,4210.85,NA,NA,NA,1,3,5,9
"231",271,17,1978,32,NA,NA,79.04,74.9,140.03,349.57,559.14,17,20,22,24,26,28,32
"286",272,NA,1991,19,NA,NA,NA,NA,NA,NA,962.34,4,7,9,11,13,15,19
"44",273,15.2777777777778,1987,23,58.5,302.59,134.84,439.77,84.23,99.87,2264.64,8,11,13,15,17,19,23
"5",274,NA,2002,8,NA,NA,NA,253.59,581.24,349.57,1614.97,NA,NA,NA,0,2,4,8
"26",275,NA,1993,17,287.95,321.17,NA,854.94,NA,1608.92,NA,2,5,7,9,11,13,17
"464",276,NA,1981,29,107.25,84.19,NA,NA,NA,NA,NA,14,17,19,21,23,25,29
"91",277,18.3333333333333,1977,33,35.1,NA,NA,NA,NA,NA,505.66,18,21,23,25,27,29,33
"160",278,19.7888888888889,1982,28,NA,NA,NA,NA,NA,NA,1632.63,13,16,18,20,22,24,28
"348",279,22.2833333333333,1977,33,35.1,90.04,63.71,NA,NA,238.87,NA,18,21,23,25,27,29,33
"481",280,NA,1995,11,35.1,120.85,NA,NA,NA,NA,NA,0,3,5,7,9,11,15
"443",281,NA,2001,9,NA,NA,NA,NA,440.11,NA,NA,NA,NA,NA,1,3,5,9
"346",282,17.4166666666667,1982,28,103.35,NA,222.26,581.01,444.84,926.92,NA,13,16,18,20,22,24,28
"418",283,NA,2000,10,NA,NA,1117.74,NA,NA,NA,NA,NA,NA,0,2,4,6,10
"34",284,NA,1996,14,NA,339.11,358.21,468.66,2155.98,955.6,10689.11,NA,2,4,6,8,10,14
"180",285,17.2666666666667,1978,32,545.35,517.87,529.16,177.62,226.83,4974.61,7169.24,17,20,22,24,26,28,32
"223",286,18.1305555555556,1984,26,647.4,864.85,1158.56,144.45,122.67,99.87,810.51,11,14,16,18,20,22,26
"121",287,20.4222222222222,1985,25,NA,1291.12,1232.32,1366.39,1906.65,4699.87,9342.7,10,13,15,17,19,21,25
"401",288,17.8694444444444,1980,30,NA,57.28,NA,NA,84.23,NA,NA,15,18,20,22,24,26,30
"12",289,NA,1989,21,680.55,885.91,1223.02,1399.56,1989.8,2520.56,6741.51,6,9,11,13,15,17,21
"150",290,NA,1996,14,NA,132.94,87.75,NA,NA,212.46,1458.95,NA,2,4,6,8,10,14
"308",291,17.9166666666667,1991,19,NA,NA,NA,NA,NA,NA,913.91,4,7,9,11,13,15,19
"177",292,NA,2000,10,NA,NA,NA,632.37,1322.98,2413.73,4639.01,NA,NA,0,2,4,6,10
"482",293,NA,1970,40,NA,NA,212.95,NA,NA,NA,NA,25,28,30,32,34,36,40
"293",294,17.7777777777778,1992,18,NA,62.74,63.71,74.9,112.13,212.46,841.83,3,6,8,10,12,14,18
"2",295,NA,1993,17,545.35,517.87,529.16,945.88,1779.7,3928.41,13901.33,2,5,7,9,11,13,17
"215",296,19.075,1983,27,NA,NA,NA,NA,NA,266.67,679.27,12,15,17,19,21,23,27
"128",297,NA,1995,15,40.95,49.09,60.44,200.09,251.63,2043.77,33886.77,0,3,5,7,9,11,15
"193",298,19.5166666666667,1990,20,NA,NA,NA,NA,NA,99.87,159.75,5,8,10,12,14,16,20
"253",299,17.1166666666667,1989,21,35.1,73.27,60.44,70.62,84.23,109.61,826.55,6,9,11,13,15,17,21
"366",300,17.5111111111111,1987,23,166.4,136.45,NA,NA,NA,NA,NA,8,11,13,15,17,19,23
"118",301,NA,2001,9,NA,NA,NA,854.94,84.23,2148.03,2347.41,NA,NA,NA,1,3,5,9
"357",302,NA,1997,13,NA,167.65,146.18,1924.93,2178.3,4024.52,NA,NA,1,3,5,7,9,13
"282",303,NA,1998,12,NA,NA,NA,NA,NA,NA,2352.87,NA,0,2,4,6,8,12
"212",304,18.8305555555556,1989,21,35.1,49.09,64.16,70.62,84.23,NA,505.66,6,9,11,13,15,17,21
"323",305,NA,1999,11,NA,NA,1622.78,1774.06,2268.81,3023.75,NA,NA,NA,1,3,5,7,11
"187",306,NA,2002,8,NA,NA,NA,74.9,294.8,533.06,1120.85,NA,NA,NA,0,2,4,8
"490",307,NA,1965,41,235.3,167.26,NA,NA,NA,NA,NA,30,33,35,37,39,41,45
"365",308,NA,2002,8,NA,NA,NA,104.86,174.75,662.82,NA,NA,NA,NA,0,2,4,8
"201",309,17.6,1983,27,35.1,51.82,60.44,572.45,150.57,162.41,1513.66,12,15,17,19,21,23,27
"350",310,NA,1957,49,35.1,49.09,60.44,NA,NA,NA,NA,38,41,43,45,47,49,53
"175",311,NA,2000,10,NA,NA,157.16,420.51,113.99,149.91,649.31,NA,NA,0,2,4,6,10
"277",312,24.0833333333333,1981,29,NA,NA,NA,NA,NA,NA,11085.8,14,17,19,21,23,25,29
"94",313,NA,1998,12,NA,NA,NA,NA,NA,2010.43,4815.65,NA,0,2,4,6,8,12
"398",314,NA,1994,16,204.1,129.43,339.44,70.62,152.43,2120.94,NA,1,4,6,8,10,12,16
"362",315,NA,1993,17,285.35,54.55,60.44,300.67,1017.95,466.35,NA,2,5,7,9,11,13,17
"370",316,16.25,1988,22,35.1,76.39,234.82,74.9,141.89,99.87,NA,7,10,12,14,16,18,22
"247",317,21.3694444444444,1986,24,41.6,132.94,537.87,144.45,239.85,NA,3279.78,9,12,14,16,18,20,24
"388",318,16.25,1988,18,NA,NA,NA,NA,NA,349.57,NA,7,10,12,14,16,18,22
"422",319,NA,1987,19,NA,372.01,NA,NA,NA,NA,NA,8,11,13,15,17,19,23
"164",320,19.3944444444444,1976,34,119.6,65.47,154.06,87.74,147.47,927.81,5092.71,19,22,24,26,28,30,34
"40",321,NA,1999,11,NA,NA,60.44,70.62,749.88,1284.64,960.25,NA,NA,1,3,5,7,11
"476",322,NA,1998,8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,6,8,12
"486",323,NA,1985,25,35.1,NA,NA,NA,NA,NA,NA,10,13,15,17,19,21,25
"37",324,NA,2002,8,NA,NA,NA,70.62,84.23,109.61,518.14,NA,NA,NA,0,2,4,8
"386",325,24.4944444444444,1982,28,46.8,57.28,79.04,NA,NA,359.31,NA,13,16,18,20,22,24,28
"423",326,NA,1993,17,NA,NA,1049.86,NA,NA,2010.43,NA,2,5,7,9,11,13,17
"133",327,NA,1995,15,35.1,906.97,1128.16,1399.56,2137.37,3364.27,5095.44,0,3,5,7,9,11,15
"167",328,30.4166666666667,1969,41,NA,76.39,NA,70.62,NA,NA,144.46,26,29,31,33,35,37,41
"90",329,NA,2000,10,NA,NA,NA,NA,NA,NA,505.66,NA,NA,0,2,4,6,10
"460",330,20.075,1975,35,35.1,244.73,67.88,70.62,NA,NA,NA,20,23,25,27,29,31,35
"240",331,15.9388888888889,1984,26,39,52.21,60.44,70.62,822.03,414.91,596.58,11,14,16,18,20,22,26
"430",332,17.5444444444444,1988,22,NA,474.56,238.35,70.62,NA,633.15,NA,7,10,12,14,16,18,22
"162",333,NA,2001,9,NA,NA,NA,1457.34,472.12,559.45,1254.71,NA,NA,NA,1,3,5,9
"397",334,18.9166666666667,1985,25,35.1,326.38,281.13,253.59,581.24,NA,NA,10,13,15,17,19,21,25
"445",335,18,1978,28,NA,106.03,NA,NA,NA,NA,NA,17,20,22,24,26,28,32
"276",336,16.0833333333333,1992,18,NA,NA,NA,NA,NA,NA,559.14,3,6,8,10,12,14,18
"83",337,NA,1997,13,NA,93.16,95.19,105.93,128.25,268.06,144.46,NA,1,3,5,7,9,13
"428",338,NA,1999,11,NA,NA,60.44,NA,NA,NA,NA,NA,NA,1,3,5,7,11
"45",339,NA,2001,9,NA,NA,NA,949.09,2054.83,3468.52,3718.62,NA,NA,NA,1,3,5,9
"269",340,18.5805555555556,1990,20,52.65,49.09,60.44,70.62,302.47,99.87,625.03,5,8,10,12,14,16,20
"107",341,18.5416666666667,1977,33,142.35,57.67,337.76,466.52,202.02,540.51,256.78,18,21,23,25,27,29,33
"260",342,18.7805555555556,1985,25,NA,NA,NA,NA,NA,NA,465.35,10,13,15,17,19,21,25
"477",343,NA,1988,22,285.35,NA,NA,NA,NA,NA,NA,7,10,12,14,16,18,22
"466",344,20,1981,25,NA,NA,60.44,NA,NA,NA,NA,14,17,19,21,23,25,29
"93",345,NA,2001,9,NA,NA,NA,NA,NA,2010.43,4815.65,NA,NA,NA,1,3,5,9
"241",346,NA,1993,17,NA,NA,NA,NA,NA,349.57,1686.67,2,5,7,9,11,13,17
"440",347,NA,1997,9,NA,NA,NA,NA,NA,382.94,NA,NA,1,3,5,7,9,13
"97",348,18.6527777777778,1990,20,35.1,90.04,63.71,111.28,91.67,238.87,263.15,5,8,10,12,14,16,20
"225",349,17.9583333333333,1986,24,39,51.82,64.16,128.4,NA,349.57,465.35,9,12,14,16,18,20,24
"178",350,19.6916666666667,1980,30,41.6,132.94,537.87,200.09,84.23,1176.71,4639.01,15,18,20,22,24,26,30
"352",351,NA,1989,21,64.35,76.39,NA,102.72,84.23,99.87,NA,6,9,11,13,15,17,21
"325",352,19.9166666666667,1986,24,189.15,NA,NA,NA,NA,NA,NA,9,12,14,16,18,20,24
"99",353,19.6611111111111,1985,25,35.1,90.04,63.71,111.28,NA,238.87,263.15,10,13,15,17,19,21,25
"410",354,20.6305555555556,1980,30,123.5,178.04,216.67,280.34,437.4,628.95,NA,15,18,20,22,24,26,30
"442",355,NA,1974,32,588.9,110.71,NA,NA,NA,NA,NA,21,24,26,28,30,32,36
"427",356,NA,1997,9,NA,NA,NA,1263.67,NA,NA,NA,NA,1,3,5,7,9,13
"138",357,NA,1999,11,NA,NA,60.44,87.74,84.23,99.87,269.26,NA,NA,1,3,5,7,11
"3",358,NA,1998,12,NA,54.55,67.88,344.55,NA,NA,219.34,NA,0,2,4,6,8,12
"149",359,20,1988,22,NA,132.94,87.75,NA,NA,NA,1458.95,7,10,12,14,16,18,22
"414",360,17.7638888888889,1978,28,47.45,110.71,60.44,NA,NA,NA,NA,17,20,22,24,26,28,32
"39",361,NA,1996,14,NA,864.85,1158.56,144.45,122.67,619.24,3234.75,NA,2,4,6,8,10,14
"131",362,NA,1999,11,NA,NA,1128.16,1399.56,2137.37,3364.27,5095.44,NA,NA,1,3,5,7,11
"181",363,18.6666666666667,1982,28,NA,NA,318.98,195.81,91.67,142.96,802.74,13,16,18,20,22,24,28
"451",364,NA,1986,24,NA,NA,NA,NA,NA,NA,NA,9,12,14,16,18,20,24
"461",365,NA,1953,53,NA,169.85,209.23,70.62,NA,NA,NA,42,45,47,49,51,53,57
"285",366,17.7027777777778,1990,20,35.1,76.39,234.82,74.9,141.89,NA,2909.73,5,8,10,12,14,16,20
"390",367,NA,1989,21,166.4,136.45,NA,NA,NA,434.86,NA,6,9,11,13,15,17,21
"116",368,NA,2001,9,NA,NA,NA,121.98,294.8,283.36,NA,NA,NA,NA,1,3,5,9
"105",369,NA,1995,15,37.7,73.66,67.88,70.62,118.95,429.31,2419.83,0,3,5,7,9,11,15
"56",370,19.6583333333333,1982,28,123.5,178.04,NA,327.42,91.67,99.87,568.06,13,16,18,20,22,24,28
"452",371,18.3333333333333,1978,28,NA,54.55,60.44,70.62,NA,NA,NA,17,20,22,24,26,28,32
"226",372,17.6916666666667,1987,23,680.55,885.91,1223.02,1399.56,1989.8,359.31,238.19,8,11,13,15,17,19,23
"85",373,15.9166666666667,1985,25,NA,NA,265.03,326.35,822.03,1990.27,3909.39,10,13,15,17,19,21,25
"185",374,NA,1996,14,NA,76.39,60.44,70.62,219.39,546.06,1582.43,NA,2,4,6,8,10,14
"321",375,18.9694444444444,1983,27,381.55,603.51,804.56,1014.36,1410.02,NA,NA,12,15,17,19,21,23,27
"456",376,NA,1997,9,NA,49.09,NA,NA,NA,NA,NA,NA,1,3,5,7,9,13
"203",377,17.1638888888889,1984,26,45.5,62.35,97.19,170.13,1027.64,699.86,565.19,11,14,16,18,20,22,26
"115",378,NA,1996,14,NA,54.94,60.44,121.98,294.8,283.36,NA,NA,2,4,6,8,10,14
"51",379,NA,1994,16,74.1,76.39,75.32,376.64,470.25,559.45,2483.2,1,4,6,8,10,12,16
"210",380,28.6583333333333,1976,34,NA,NA,NA,NA,472.12,580.3,939.87,19,22,24,26,28,30,34
"46",381,NA,1994,16,59.15,326.77,479.12,949.09,2054.83,3468.52,3718.62,1,4,6,8,10,12,16
"159",382,16.4166666666667,1983,27,61.1,86.92,231.1,247.17,294.8,142.96,3202.85,12,15,17,19,21,23,27
"369",383,NA,1984,22,181.35,NA,NA,NA,NA,NA,NA,11,14,16,18,20,22,26
"145",384,NA,1996,14,NA,76.39,100.91,100.58,117.71,144.36,197.94,NA,2,4,6,8,10,14
"374",385,19,1978,32,171.6,NA,339.44,NA,NA,2413.73,NA,17,20,22,24,26,28,32
"324",386,NA,1996,14,NA,746.25,1622.78,1774.06,2268.81,3023.75,NA,NA,2,4,6,8,10,14
"373",387,NA,2001,9,NA,NA,NA,NA,1322.98,2413.73,NA,NA,NA,NA,1,3,5,9
"395",388,20,1984,26,40.95,NA,NA,NA,NA,NA,NA,11,14,16,18,20,22,26
"332",389,20.25,1980,26,119.6,205.73,227.83,70.62,124.53,191.61,NA,15,18,20,22,24,26,30
"244",390,18,1980,30,NA,NA,NA,NA,NA,392.66,5367.83,15,18,20,22,24,26,30
"110",391,NA,2000,10,NA,NA,75.32,79.18,294.8,530.77,1939.73,NA,NA,0,2,4,6,10
"236",392,NA,1997,13,NA,62.35,97.19,170.13,91.67,559.45,543.1,NA,1,3,5,7,9,13
"435",393,NA,1994,12,35.1,NA,110.66,NA,NA,NA,NA,1,4,6,8,10,12,16
"53",394,18.4166666666667,1988,22,NA,905.37,899.42,247.17,1027.64,699.86,181.9,7,10,12,14,16,18,22
"249",395,NA,2001,9,NA,NA,NA,945.88,84.23,3928.41,4353.47,NA,NA,NA,1,3,5,9
"494",396,NA,1994,16,NA,57.28,NA,NA,NA,NA,NA,1,4,6,8,10,12,16
"358",397,22.0833333333333,1979,31,NA,NA,NA,211.86,237.99,4024.52,NA,16,19,21,23,25,27,31
"436",398,19.25,1988,22,NA,130.21,225.53,502.9,675.7,594.7,NA,7,10,12,14,16,18,22
"458",399,22.6527777777778,1981,29,369.2,701.95,665.12,1611.42,2057.38,NA,NA,14,17,19,21,23,25,29
"111",400,20.1694444444444,1985,25,61.1,89.65,75.32,79.18,NA,NA,1939.73,10,13,15,17,19,21,25
"467",401,16.0833333333333,1986,20,44.85,90.04,132.98,331.7,NA,NA,NA,9,12,14,16,18,20,24
"287",402,17.9166666666667,1981,29,NA,NA,NA,NA,NA,NA,749.26,14,17,19,21,23,25,29
"87",403,19.1416666666667,1978,32,44.85,90.04,132.98,331.7,NA,448.75,933.75,17,20,22,24,26,28,32
"372",404,16.6527777777778,1980,30,631.8,746.25,NA,NA,NA,NA,NA,15,18,20,22,24,26,30
"66",405,21.8222222222222,1976,34,74.1,52.21,NA,376.64,NA,NA,505.66,19,22,24,26,28,30,34
"432",406,NA,1999,11,NA,NA,418.18,231.12,NA,NA,NA,NA,NA,1,3,5,7,11
"279",407,21.5833333333333,1984,26,NA,NA,NA,NA,NA,NA,1001.66,11,14,16,18,20,22,26
"491",408,NA,1994,16,NA,NA,60.44,NA,NA,NA,NA,1,4,6,8,10,12,16
"471",409,21.0277777777778,1983,27,171.6,54.55,318.98,195.81,91.67,NA,NA,12,15,17,19,21,23,27
"312",410,NA,2001,9,NA,NA,NA,NA,NA,NA,3240.29,NA,NA,NA,1,3,5,9
"229",411,16.9055555555556,1987,23,35.1,60.01,NA,93.09,118.95,349.57,1781.07,8,11,13,15,17,19,23
"30",412,18.9166666666667,1982,28,40.95,NA,NA,NA,NA,2273.13,5004.17,13,16,18,20,22,24,28
"155",413,18.1222222222222,1977,33,226.2,373.18,228.65,269.64,351.84,730.45,4542.71,18,21,23,25,27,29,33
"88",414,NA,1997,13,NA,90.04,132.98,331.7,694.31,448.75,933.75,NA,1,3,5,7,9,13
"206",415,17.4583333333333,1986,24,NA,NA,NA,114.49,265.26,351.45,723.85,9,12,14,16,18,20,24
"230",416,NA,1999,11,NA,NA,79.04,74.9,140.03,349.57,559.14,NA,NA,1,3,5,7,11
"127",417,NA,1999,11,NA,NA,1147.2,383.06,1882.55,11306.74,33886.77,NA,NA,1,3,5,7,11
"144",418,NA,1997,13,NA,57.28,NA,NA,NA,NA,773.07,NA,1,3,5,7,9,13
"377",419,NA,1997,13,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,7,9,13
"363",420,18.7361111111111,1984,26,NA,NA,NA,NA,549.6,NA,NA,11,14,16,18,20,22,26
"124",421,NA,2000,10,NA,NA,NA,842.09,1880.69,1572.36,3954.13,NA,NA,0,2,4,6,10
"176",422,NA,1997,13,NA,51.82,157.16,70.62,113.99,NA,649.31,NA,1,3,5,7,9,13
"267",423,NA,2001,9,NA,NA,NA,NA,NA,NA,518.14,NA,NA,NA,1,3,5,9
"189",424,NA,1997,13,NA,NA,NA,NA,84.23,349.57,1826.92,NA,1,3,5,7,9,13
"317",425,18.5666666666667,1990,20,119.6,205.73,227.83,360.6,313.4,382.94,465.35,5,8,10,12,14,16,20
"327",426,16.9055555555556,1985,21,NA,NA,NA,349.89,NA,NA,NA,10,13,15,17,19,21,25
"264",427,20.7361111111111,1986,24,NA,NA,NA,NA,NA,NA,197.94,9,12,14,16,18,20,24
"409",428,NA,1999,7,NA,NA,83.32,NA,NA,NA,NA,NA,NA,1,3,5,7,11
"275",429,22.4166666666667,1980,30,NA,NA,NA,NA,NA,NA,490.31,15,18,20,22,24,26,30
"351",430,NA,1995,11,44.85,51.82,67.88,513.61,328.28,2670.45,NA,0,3,5,7,9,11,15
"303",431,NA,1999,11,NA,NA,NA,NA,NA,NA,144.46,NA,NA,1,3,5,7,11
"270",432,18.4277777777778,1988,22,35.1,326.38,281.13,253.59,581.24,349.57,625.03,7,10,12,14,16,18,22
"60",433,NA,1993,17,35.1,49.09,60.44,93.09,111.51,99.87,159.75,2,5,7,9,11,13,17
"92",434,NA,1998,12,NA,NA,NA,NA,NA,NA,505.66,NA,0,2,4,6,8,12
"399",435,NA,1996,10,NA,54.55,60.44,NA,NA,NA,NA,NA,2,4,6,8,10,14
"220",436,17.0916666666667,1983,27,NA,NA,NA,NA,NA,498.31,960.25,12,15,17,19,21,23,27
"359",437,NA,1995,11,35.1,NA,NA,NA,NA,NA,NA,0,3,5,7,9,11,15
"330",438,NA,1993,17,54.6,52.21,130.53,70.62,605.65,427.9,NA,2,5,7,9,11,13,17
"355",439,16.7305555555556,1990,20,68.25,162.19,60.44,77.04,530.01,109.61,NA,5,8,10,12,14,16,20
"154",440,NA,1997,13,NA,NA,172.04,74.9,350.6,962.55,5996.15,NA,1,3,5,7,9,13
"74",441,NA,1999,11,NA,NA,130.03,177.62,NA,1990.27,1100.62,NA,NA,1,3,5,7,11
"378",442,15.5,1983,27,NA,NA,NA,NA,396.48,181.88,NA,12,15,17,19,21,23,27
"6",443,NA,2000,10,NA,NA,NA,253.59,581.24,349.57,1614.97,NA,NA,0,2,4,6,10
"441",444,NA,1982,24,181.35,NA,NA,NA,NA,NA,NA,13,16,18,20,22,24,28
"169",445,19.6611111111111,1977,33,39,51.82,76.14,99.51,329.52,392.66,841.83,18,21,23,25,27,29,33
"198",446,19.2416666666667,1985,25,35.1,129.43,60.44,70.62,226.83,238.87,1857.04,10,13,15,17,19,21,25
"57",447,NA,2000,10,NA,NA,NA,360.6,313.4,382.94,1445.76,NA,NA,0,2,4,6,10
"283",448,25.4777777777778,1970,40,287.95,321.17,1127.01,NA,1370.03,NA,411.87,25,28,30,32,34,36,40
"468",449,16.0833333333333,1983,23,NA,NA,209.23,70.62,NA,NA,NA,12,15,17,19,21,23,27
"479",450,NA,1982,24,309.4,NA,NA,NA,NA,NA,NA,13,16,18,20,22,24,28
"19",451,NA,1997,13,NA,603.51,804.56,1014.36,1410.02,2559.48,4609.43,NA,1,3,5,7,9,13
"353",452,16.9361111111111,1979,31,56.55,49.09,234.82,74.9,NA,NA,NA,16,19,21,23,25,27,31
"306",453,15.6277777777778,1994,16,NA,NA,NA,NA,NA,NA,169.42,1,4,6,8,10,12,16
"27",454,NA,1996,14,NA,141.52,203.01,231.12,295.02,526.11,4881.45,NA,2,4,6,8,10,14
"450",455,NA,2001,9,NA,NA,NA,945.88,NA,NA,NA,NA,NA,NA,1,3,5,9
"80",456,13.575,1993,17,35.1,129.43,60.44,70.62,84.23,349.57,144.46,2,5,7,9,11,13,17
"79",457,17.1305555555556,1981,29,103.35,51.82,NA,101.65,322.08,99.87,144.46,14,17,19,21,23,25,29
"295",458,19.5833333333333,1990,20,NA,NA,NA,NA,NA,NA,835.47,5,8,10,12,14,16,20
"4",459,NA,1996,14,NA,326.38,281.13,253.59,581.24,349.57,1614.97,NA,2,4,6,8,10,14
"364",460,21.1666666666667,1979,31,35.1,NA,237.14,104.86,NA,662.82,NA,16,19,21,23,25,27,31
"416",461,23.25,1973,33,NA,NA,86.03,354.17,NA,NA,NA,22,25,27,29,31,33,37
"296",462,18.7222222222222,1985,25,119.6,205.73,227.83,360.6,313.4,382.94,559.14,10,13,15,17,19,21,25
"405",463,NA,1995,11,80.6,NA,157.16,420.51,84.23,99.87,NA,0,3,5,7,9,11,15
"72",464,16.7694444444444,1992,18,80.6,92.38,71.6,326.35,583.08,NA,1754.9,3,6,8,10,12,14,18
"168",465,NA,1998,12,NA,NA,175.76,87.74,362.99,829.13,2680.32,NA,0,2,4,6,8,12
"354",466,19.2083333333333,1985,25,NA,62.74,82.76,150.87,338.43,349.57,NA,10,13,15,17,19,21,25
"475",467,20,1978,32,171.6,54.55,NA,NA,NA,NA,NA,17,20,22,24,26,28,32
"299",468,15.3055555555556,1994,16,NA,NA,NA,NA,NA,NA,2347.41,1,4,6,8,10,12,16
"338",469,NA,1998,12,NA,NA,79.04,92.02,125.15,142.96,NA,NA,0,2,4,6,8,12
"331",470,19.2833333333333,1977,33,89.7,138.01,NA,NA,2092.8,NA,NA,18,21,23,25,27,29,33
"472",471,16.9222222222222,1985,21,35.1,326.38,281.13,NA,NA,NA,NA,10,13,15,17,19,21,25
"102",472,20.4944444444444,1989,21,63.7,NA,NA,239.68,84.23,99.87,235.38,6,9,11,13,15,17,21
"459",473,NA,1993,13,NA,NA,NA,898.8,329.52,NA,NA,2,5,7,9,11,13,17
"381",474,15,1986,24,NA,NA,NA,NA,226.83,516.37,NA,9,12,14,16,18,20,24
"112",475,NA,1997,13,NA,106.03,NA,NA,294.8,530.77,1939.73,NA,1,3,5,7,9,13
"33",476,NA,2000,10,NA,NA,60.44,177.62,437.4,549.74,1267.19,NA,NA,0,2,4,6,10
"10",477,NA,1999,11,NA,NA,671.13,1954.89,2376.07,2958.41,4210.85,NA,NA,1,3,5,7,11
"251",478,16.5,1988,22,NA,57.28,60.44,70.62,324.56,137.41,480.63,7,10,12,14,16,18,22
"248",479,16.1305555555556,1985,25,545.35,517.87,529.16,945.88,84.23,3928.41,4353.47,10,13,15,17,19,21,25
"63",480,NA,2001,9,NA,NA,NA,93.09,118.95,137.41,614.33,NA,NA,NA,1,3,5,9
"302",481,28.3333333333333,1970,40,NA,103.69,358.36,704.06,893.95,349.57,NA,25,28,30,32,34,36,40
"96",482,17.1055555555556,1987,23,NA,259.69,NA,247.17,294.8,99.87,1634.78,8,11,13,15,17,19,23
"84",483,NA,1997,13,NA,49.09,234.82,74.9,141.89,99.87,144.46,NA,1,3,5,7,9,13
"217",484,19.9111111111111,1980,30,NA,NA,NA,1954.89,NA,1215.77,1819.39,15,18,20,22,24,26,30
"42",485,NA,2002,8,NA,NA,NA,70.62,749.88,1284.64,960.25,NA,NA,NA,0,2,4,8
"425",486,NA,1988,18,74.1,NA,NA,NA,NA,NA,NA,7,10,12,14,16,18,22
"384",487,20.8333333333333,1977,33,NA,175.31,227.83,322.07,NA,NA,NA,18,21,23,25,27,29,33
"25",488,NA,2001,9,NA,NA,NA,835.67,294.8,359.31,505.66,NA,NA,NA,1,3,5,9
"166",489,NA,1999,11,NA,NA,235.27,456.89,886.27,1087.65,891.75,NA,NA,1,3,5,7,11
"195",490,17.2972222222222,1983,27,NA,NA,NA,NA,294.8,NA,585.1,12,15,17,19,21,23,27
"319",491,NA,1995,15,NA,NA,NA,NA,NA,NA,NA,0,3,5,7,9,11,15
"259",492,16.7083333333333,1987,23,NA,NA,NA,NA,NA,NA,2640.95,8,11,13,15,17,19,23
"214",493,18.3555555555556,1978,32,NA,NA,NA,NA,NA,434.88,3548.7,17,20,22,24,26,28,32
"140",494,NA,1997,13,NA,129.43,339.44,70.62,152.43,2120.94,6571.19,NA,1,3,5,7,9,13
"284",495,NA,1998,12,NA,NA,NA,854.94,1370.03,NA,411.87,NA,0,2,4,6,8,12
