"","id","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"474",57,NA,1997,13,NA,106.03,60.44,70.62,NA,NA,NA,NA,1,3,5,7,9,13
"345",58,NA,1999,11,NA,NA,60.44,NA,84.23,99.87,NA,NA,NA,1,3,5,7,11
"336",59,22.0388888888889,1978,28,NA,NA,1124.88,NA,NA,NA,NA,17,20,22,24,26,28,32
"448",60,17.8388888888889,1985,25,NA,NA,NA,NA,152.42,NA,NA,10,13,15,17,19,21,25
"400",61,NA,1966,44,NA,NA,NA,NA,NA,NA,NA,29,32,34,36,38,40,44
"82",62,18.9583333333333,1990,20,56.55,93.16,95.19,70.62,128.25,268.06,144.46,5,8,10,12,14,16,20
"368",63,18,1977,33,NA,NA,NA,226.84,NA,NA,NA,18,21,23,25,27,29,33
"109",64,14.8,1983,27,35.1,NA,NA,300.67,379.73,NA,3088,12,15,17,19,21,23,27
"183",65,17.3277777777778,1985,25,NA,NA,NA,206.51,1065.31,NA,661.47,10,13,15,17,19,21,25
"49",66,20.8472222222222,1978,32,35.1,62.74,71.6,121.98,112.13,99.87,808.74,17,20,22,24,26,28,32
"16",67,NA,1988,22,254.8,272.56,281.96,231.12,1021.44,2787.43,7374.93,7,10,12,14,16,18,22
"165",68,17,1980,30,NA,NA,235.27,456.89,886.27,1087.65,891.75,15,18,20,22,24,26,30
"17",69,NA,1991,19,254.8,272.56,281.96,231.12,1021.44,2787.43,7374.93,4,7,9,11,13,15,19
"58",70,NA,1998,12,NA,205.73,227.83,360.6,313.4,382.94,1445.76,NA,0,2,4,6,8,12
"289",71,NA,2001,9,NA,NA,NA,144.45,783.59,691.5,206.86,NA,NA,NA,1,3,5,9
"157",72,22.5722222222222,1976,34,48.75,65.47,60.44,247.17,130.11,99.87,2690.87,19,22,24,26,28,30,34
"134",73,17.7777777777778,1978,32,35.1,906.97,1128.16,1399.56,2137.37,3364.27,5095.44,17,20,22,24,26,28,32
"78",74,NA,1995,15,107.25,140.35,60.44,70.62,147.47,140.19,2371.45,0,3,5,7,9,11,15
"415",75,18,1979,31,35.1,NA,NA,NA,NA,NA,NA,16,19,21,23,25,27,31
"62",76,17.0277777777778,1992,18,35.1,60.01,NA,93.09,118.95,137.41,614.33,3,6,8,10,12,14,18
"261",77,17.3888888888889,1982,28,171.6,127.48,339.44,632.37,1322.98,2413.73,547.66,13,16,18,20,22,24,28
"301",78,18.9694444444444,1990,20,35.1,NA,237.14,104.86,174.75,662.82,197.94,5,8,10,12,14,16,20
"315",79,NA,1998,12,NA,NA,NA,NA,NA,NA,676.8,NA,0,2,4,6,8,12
"18",80,NA,1998,12,NA,247.85,295.41,269.64,1348.03,2517.55,7030.1,NA,0,2,4,6,8,12
"387",81,NA,1998,12,NA,65.47,97.64,79.18,345.02,389.89,NA,NA,0,2,4,6,8,12
"339",82,25.9805555555556,1977,33,NA,NA,237.14,NA,84.23,NA,NA,18,21,23,25,27,29,33
"81",83,20.8194444444444,1982,28,148.85,364.99,244.58,NA,328.28,NA,169.42,13,16,18,20,22,24,28
"126",84,NA,1997,13,NA,49.09,64.16,383.06,1882.55,11306.74,33886.77,NA,1,3,5,7,9,13
"335",85,16.9166666666667,1984,26,44.85,90.04,NA,NA,NA,448.75,NA,11,14,16,18,20,22,26
"228",86,NA,2000,10,NA,NA,NA,NA,NA,NA,1781.07,NA,NA,0,2,4,6,10
"120",87,NA,1997,13,NA,73.66,60.44,NA,2178.3,432.98,908.86,NA,1,3,5,7,9,13
"429",88,21.2722222222222,1979,31,89.7,138.01,126.31,841.02,NA,NA,NA,16,19,21,23,25,27,31
"360",89,NA,1999,11,NA,NA,NA,NA,328.28,NA,NA,NA,NA,1,3,5,7,11
"31",90,NA,1995,15,118.3,49.09,60.44,177.62,437.4,549.74,1267.19,0,3,5,7,9,11,15
"278",91,18.6555555555556,1980,30,NA,60.01,67.88,70.62,84.23,183.28,1343.07,15,18,20,22,24,26,30
"235",92,20.6,1985,25,47.45,49.09,NA,NA,NA,NA,144.46,10,13,15,17,19,21,25
"64",93,NA,1987,23,NA,NA,NA,NA,NA,NA,614.33,8,11,13,15,17,19,23
"52",94,17.2222222222222,1992,18,166.4,136.45,NA,NA,NA,349.57,2218.23,3,6,8,10,12,14,18
"309",95,20.0305555555556,1986,24,107.25,84.19,106.94,70.62,84.23,1472.29,250.67,9,12,14,16,18,20,24
"7",96,17.4166666666667,1992,18,434.2,422.57,671.13,1954.89,2376.07,2958.41,4210.85,3,6,8,10,12,14,18
"75",97,NA,1995,15,80.6,407.89,130.03,177.62,NA,1990.27,1100.62,0,3,5,7,9,11,15
"221",98,14.7888888888889,1990,20,283.4,172.58,209.23,247.17,333.86,2413.71,5872.55,5,8,10,12,14,16,20
"343",99,NA,1947,59,63.05,159.85,118.1,898.8,NA,NA,NA,48,51,53,55,57,59,63
"146",100,NA,1998,12,NA,76.39,100.91,100.58,117.71,144.36,197.94,NA,0,2,4,6,8,12
"233",101,22.7166666666667,1983,27,NA,NA,NA,NA,NA,960.29,1775.57,12,15,17,19,21,23,27
